iter	Passed	Remaining
0	54	10901
1	64	6366
2	72	4767
3	80	3950
4	88	3460
5	96	3126
6	104	2884
7	112	2702
8	121	2572
9	130	2473
10	138	2384
11	147	2306
12	157	2268
13	166	2213
14	181	2239
15	198	2287
16	207	2230
17	215	2179
18	223	2129
19	231	2087
20	241	2054
21	249	2017
22	257	1984
23	266	1951
24	274	1923
25	283	1896
26	291	1870
27	300	1843
28	308	1816
29	316	1793
30	326	1777
31	334	1758
32	343	1738
33	352	1718
34	360	1698
35	369	1684
36	378	1666
37	386	1649
38	394	1629
39	403	1612
40	411	1597
41	420	1582
42	428	1565
43	436	1549
44	445	1533
45	454	1521
46	463	1508
47	471	1492
48	479	1478
49	488	1466
50	497	1453
51	505	1439
52	514	1425
53	522	1412
54	530	1399
55	539	1387
56	548	1376
57	563	1378
58	575	1375
59	584	1364
60	592	1351
61	603	1342
62	611	1329
63	620	1319
64	629	1307
65	639	1298
66	648	1288
67	657	1275
68	667	1267
69	675	1255
70	685	1245
71	693	1233
72	703	1224
73	711	1212
74	721	1201
75	731	1194
76	739	1182
77	749	1171
78	757	1160
79	767	1151
80	776	1140
81	785	1129
82	793	1119
83	805	1112
84	816	1105
85	825	1093
86	834	1083
87	842	1072
88	852	1063
89	861	1052
90	870	1042
91	880	1033
92	889	1023
93	899	1013
94	907	1002
95	917	993
96	925	982
97	934	972
98	943	962
99	953	953
100	963	944
101	973	935
102	982	925
103	995	919
104	1015	918
105	1034	917
106	1059	920
107	1069	910
108	1077	899
109	1085	888
110	1094	877
111	1102	866
112	1109	854
113	1116	842
114	1124	830
115	1131	819
116	1138	807
117	1145	796
118	1154	785
119	1166	777
120	1175	767
121	1191	761
122	1204	754
123	1215	745
124	1225	735
125	1235	725
126	1252	719
127	1269	714
128	1288	709
129	1304	702
130	1327	699
131	1345	693
132	1364	687
133	1373	676
134	1385	666
135	1404	660
136	1414	650
137	1427	641
138	1443	633
139	1455	623
140	1465	613
141	1476	603
142	1489	593
143	1521	591
144	1544	585
145	1564	578
146	1574	567
147	1589	558
148	1613	552
149	1624	541
150	1634	530
151	1649	520
152	1660	510
153	1671	499
154	1684	489
155	1697	478
156	1709	468
157	1722	457
158	1737	448
159	1750	437
160	1768	428
161	1796	421
162	1810	410
163	1826	400
164	1834	389
165	1842	377
166	1849	365
167	1857	353
168	1866	342
169	1874	330
170	1883	319
171	1892	308
172	1902	296
173	1916	286
174	1925	275
175	1933	263
176	1941	252
177	1950	241
178	1959	229
179	1967	218
180	1976	207
181	1988	196
182	2001	185
183	2023	175
184	2047	166
185	2076	156
186	2087	145
187	2096	133
188	2106	122
189	2116	111
190	2126	100
191	2137	89
192	2147	77
193	2160	66
194	2172	55
195	2183	44
196	2195	33
197	2208	22
198	2218	11
199	2227	0
